dataset,model,state,mean,mean_CI95,var,var_CI95,param1,param1_CI95,param2,param2_CI95,param3,param3_CI95
onset-to-death,Gamma,PR,15.75,"(15.11, 16.42)",91.94,"(81.82, 102.73)",2.7,"(2.49, 2.94)",0.17,"(0.16, 0.19)",,
onset-to-death,Gamma,RJ,14.23,"(14.03, 14.43)",103.29,"(99.49, 107.3)",1.96,"(1.91, 2.01)",0.14,"(0.13, 0.14)",,
onset-to-death,Gamma,RN,15.21,"(14.58, 15.86)",91.89,"(81.78, 103.01)",2.52,"(2.32, 2.73)",0.17,"(0.15, 0.18)",,
onset-to-death,Gamma,RO,14.67,"(13.6, 15.8)",92.07,"(76.43, 109.95)",2.35,"(2.06, 2.63)",0.16,"(0.14, 0.18)",,
onset-to-death,Gamma,RR,11.16,"(10.24, 12.14)",68.11,"(55.85, 82.97)",1.84,"(1.61, 2.08)",0.16,"(0.14, 0.19)",,
onset-to-death,Gamma,RS,15.45,"(14.73, 16.19)",116.04,"(103.01, 130.82)",2.06,"(1.89, 2.23)",0.13,"(0.12, 0.15)",,
onset-to-death,Gamma,SC,17.79,"(16.67, 18.98)",146.79,"(125.1, 173.47)",2.17,"(1.93, 2.41)",0.12,"(0.11, 0.14)",,
onset-to-death,Gamma,SE,13.37,"(12.24, 14.54)",112.49,"(91.41, 138.55)",1.6,"(1.4, 1.81)",0.12,"(0.1, 0.14)",,
onset-to-death,Gamma,SP,16.21,"(16.05, 16.37)",114.75,"(111.62, 118.01)",2.29,"(2.24, 2.34)",0.14,"(0.14, 0.14)",,
onset-to-death,Gamma,TO,14.84,"(13.53, 16.16)",97.28,"(79.14, 119.71)",2.28,"(1.99, 2.59)",0.15,"(0.13, 0.18)",,
onset-to-death,Gamma,Brazil,15.21,"(15.12, 15.29)",105.3,"(103.71, 106.91)",2.2,"(2.17, 2.22)",0.14,"(0.14, 0.15)",,
onset-to-death,Weibull,AC,16.96,"(15.8, 18.16)",115.67,"(96.54, 138.71)",1.62,"(1.5, 1.74)",18.93,"(17.6, 20.28)",,
onset-to-death,Weibull,AL,14.02,"(13.49, 14.59)",81.89,"(74.04, 90.22)",1.59,"(1.52, 1.66)",15.62,"(15.02, 16.26)",,
onset-to-death,Weibull,AM,15.7,"(15.34, 16.06)",99.19,"(93.55, 105.41)",1.62,"(1.57, 1.66)",17.53,"(17.12, 17.95)",,
onset-to-death,Weibull,AP,14.64,"(13.41, 15.97)",91.83,"(73.05, 116.33)",1.57,"(1.42, 1.72)",16.29,"(14.87, 17.78)",,
onset-to-death,Weibull,BA,15.24,"(14.81, 15.69)",114.63,"(106.33, 123.48)",1.45,"(1.4, 1.49)",16.8,"(16.31, 17.32)",,
onset-to-death,Weibull,CE,16.18,"(15.9, 16.45)",114.79,"(110.04, 119.91)",1.54,"(1.51, 1.57)",17.97,"(17.66, 18.29)",,
onset-to-death,Weibull,DF,16.27,"(15.58, 16.99)",98.76,"(88.14, 111.1)",1.69,"(1.59, 1.78)",18.22,"(17.43, 19.05)",,
onset-to-death,Weibull,ES,16.88,"(16.37, 17.42)",103.44,"(95.31, 112.26)",1.71,"(1.64, 1.78)",18.92,"(18.34, 19.55)",,
onset-to-death,Weibull,GO,14.5,"(13.86, 15.14)",83.4,"(74.45, 93.7)",1.63,"(1.54, 1.72)",16.19,"(15.48, 16.92)",,
onset-to-death,Weibull,MA,15.04,"(14.64, 15.46)",89.23,"(82.92, 95.94)",1.63,"(1.58, 1.69)",16.81,"(16.34, 17.28)",,
onset-to-death,Weibull,MG,15.13,"(14.62, 15.65)",94.3,"(86.35, 103.27)",1.6,"(1.53, 1.66)",16.88,"(16.28, 17.46)",,
onset-to-death,Weibull,MS,14.69,"(13.4, 16.05)",84.5,"(65.47, 109.26)",1.65,"(1.48, 1.82)",16.41,"(14.96, 17.95)",,
onset-to-death,Weibull,MT,14.03,"(13.14, 14.96)",74.05,"(62.32, 88.49)",1.68,"(1.56, 1.81)",15.71,"(14.69, 16.75)",,
onset-to-death,Weibull,PA,14.8,"(14.54, 15.08)",89.96,"(85.84, 94.23)",1.6,"(1.57, 1.63)",16.51,"(16.2, 16.82)",,
onset-to-death,Weibull,PB,13.94,"(13.47, 14.43)",72.51,"(66.24, 79.43)",1.69,"(1.61, 1.76)",15.62,"(15.08, 16.18)",,
onset-to-death,Weibull,PE,13.08,"(12.8, 13.37)",94.08,"(89.04, 99.33)",1.36,"(1.33, 1.39)",14.29,"(13.96, 14.62)",,
onset-to-death,Weibull,PI,16.36,"(15.5, 17.24)",111.45,"(97.4, 128.52)",1.59,"(1.49, 1.68)",18.23,"(17.25, 19.22)",,
onset-to-death,Weibull,PR,15.66,"(15.04, 16.31)",92.25,"(83.16, 102.52)",1.68,"(1.6, 1.76)",17.53,"(16.81, 18.27)",,
onset-to-death,Weibull,RJ,14.32,"(14.11, 14.52)",103.7,"(100.16, 107.38)",1.43,"(1.41, 1.45)",15.75,"(15.52, 15.99)",,
onset-to-death,Weibull,RN,15.16,"(14.59, 15.76)",85.53,"(76.94, 95.21)",1.69,"(1.61, 1.77)",16.98,"(16.32, 17.66)",,
onset-to-death,Weibull,RO,14.56,"(13.58, 15.59)",80.72,"(67.16, 97.1)",1.67,"(1.53, 1.81)",16.29,"(15.17, 17.43)",,
onset-to-death,Weibull,RR,11.7,"(10.72, 12.76)",72.44,"(58.29, 90.49)",1.4,"(1.29, 1.51)",12.83,"(11.74, 14.01)",,
onset-to-death,Weibull,RS,15.57,"(14.85, 16.31)",119.84,"(106.44, 134.97)",1.45,"(1.37, 1.52)",17.16,"(16.33, 17.99)",,
onset-to-death,Weibull,SC,17.57,"(16.52, 18.66)",147.0,"(125.91, 173.19)",1.48,"(1.38, 1.58)",19.42,"(18.23, 20.64)",,
onset-to-death,Weibull,SE,14.19,"(13.03, 15.42)",136.6,"(109.66, 171.39)",1.22,"(1.13, 1.32)",15.15,"(13.83, 16.49)",,
onset-to-death,Weibull,SP,16.27,"(16.11, 16.44)",114.42,"(111.53, 117.42)",1.55,"(1.54, 1.57)",18.1,"(17.91, 18.29)",,
onset-to-death,Weibull,TO,14.86,"(13.74, 16.05)",92.98,"(76.37, 114.05)",1.58,"(1.45, 1.71)",16.54,"(15.26, 17.9)",,
onset-to-death,Weibull,Brazil,15.16,"(15.08, 15.24)",103.89,"(102.54, 105.3)",1.52,"(1.51, 1.52)",16.81,"(16.72, 16.9)",,
onset-to-death,Log-normal,AC,17.59,"(16.17, 19.18)",176.11,"(126.78, 242.15)",2.64,"(2.56, 2.72)",0.67,"(0.61, 0.73)",,
onset-to-death,Log-normal,AL,14.24,"(13.61, 14.92)",127.05,"(107.16, 149.77)",2.41,"(2.37, 2.45)",0.7,"(0.67, 0.73)",,
onset-to-death,Log-normal,AM,15.87,"(15.43, 16.32)",140.46,"(126.41, 156.03)",2.54,"(2.52, 2.57)",0.67,"(0.65, 0.68)",,
onset-to-death,Log-normal,AP,15.3,"(13.64, 17.16)",192.3,"(127.98, 277.91)",2.43,"(2.33, 2.53)",0.77,"(0.71, 0.84)",,
onset-to-death,Log-normal,BA,15.83,"(15.24, 16.43)",223.96,"(196.37, 254.85)",2.44,"(2.41, 2.48)",0.8,"(0.78, 0.82)",,
onset-to-death,Log-normal,CE,16.62,"(16.28, 16.97)",199.39,"(184.42, 214.96)",2.54,"(2.52, 2.56)",0.74,"(0.72, 0.75)",,
onset-to-death,Log-normal,DF,16.78,"(15.87, 17.76)",165.5,"(134.66, 203.08)",2.59,"(2.54, 2.64)",0.68,"(0.64, 0.71)",,
onset-to-death,Log-normal,ES,17.44,"(16.78, 18.14)",175.0,"(151.34, 202.06)",2.63,"(2.6, 2.67)",0.67,"(0.65, 0.7)",,
onset-to-death,Log-normal,GO,14.91,"(14.12, 15.81)",144.39,"(118.15, 177.0)",2.45,"(2.4, 2.5)",0.71,"(0.67, 0.74)",,
onset-to-death,Log-normal,MA,15.32,"(14.85, 15.82)",138.52,"(123.03, 156.47)",2.5,"(2.47, 2.53)",0.68,"(0.66, 0.7)",,
onset-to-death,Log-normal,MG,15.55,"(14.89, 16.25)",157.39,"(134.13, 184.08)",2.49,"(2.45, 2.53)",0.71,"(0.68, 0.74)",,
onset-to-death,Log-normal,MS,15.27,"(13.59, 17.24)",150.32,"(99.04, 222.69)",2.48,"(2.37, 2.59)",0.7,"(0.63, 0.77)",,
onset-to-death,Log-normal,MT,14.32,"(13.23, 15.55)",111.22,"(82.59, 150.39)",2.45,"(2.37, 2.52)",0.66,"(0.61, 0.71)",,
onset-to-death,Log-normal,PA,15.12,"(14.79, 15.47)",146.12,"(134.62, 158.57)",2.47,"(2.45, 2.49)",0.7,"(0.69, 0.72)",,
onset-to-death,Log-normal,PB,14.36,"(13.76, 15.02)",127.44,"(108.66, 150.08)",2.42,"(2.38, 2.46)",0.69,"(0.67, 0.72)",,
onset-to-death,Log-normal,PE,13.27,"(12.92, 13.63)",153.75,"(139.65, 169.35)",2.27,"(2.25, 2.3)",0.79,"(0.78, 0.81)",,
onset-to-death,Log-normal,PI,17.02,"(15.91, 18.21)",200.55,"(158.01, 255.92)",2.57,"(2.51, 2.63)",0.72,"(0.68, 0.77)",,
onset-to-death,Log-normal,PR,16.04,"(15.27, 16.85)",136.2,"(113.7, 163.68)",2.56,"(2.52, 2.61)",0.65,"(0.62, 0.69)",,
onset-to-death,Log-normal,RJ,14.72,"(14.46, 14.98)",185.6,"(174.42, 197.57)",2.38,"(2.36, 2.4)",0.79,"(0.78, 0.8)",,
onset-to-death,Log-normal,RN,15.69,"(14.94, 16.47)",152.98,"(127.85, 183.24)",2.51,"(2.47, 2.56)",0.69,"(0.66, 0.73)",,
onset-to-death,Log-normal,RO,15.33,"(13.94, 16.91)",166.69,"(118.26, 235.01)",2.46,"(2.38, 2.55)",0.73,"(0.67, 0.79)",,
onset-to-death,Log-normal,RR,11.72,"(10.56, 13.03)",116.64,"(82.04, 164.25)",2.15,"(2.07, 2.25)",0.78,"(0.73, 0.84)",,
onset-to-death,Log-normal,RS,15.97,"(15.09, 16.9)",207.82,"(170.14, 252.41)",2.47,"(2.42, 2.52)",0.77,"(0.74, 0.81)",,
onset-to-death,Log-normal,SC,18.26,"(16.9, 19.75)",265.31,"(200.26, 348.65)",2.61,"(2.54, 2.68)",0.76,"(0.72, 0.81)",,
onset-to-death,Log-normal,SE,14.05,"(12.7, 15.64)",224.58,"(157.39, 325.28)",2.26,"(2.17, 2.36)",0.87,"(0.81, 0.93)",,
onset-to-death,Log-normal,SP,16.71,"(16.5, 16.92)",195.25,"(186.48, 204.34)",2.55,"(2.54, 2.56)",0.73,"(0.72, 0.74)",,
onset-to-death,Log-normal,TO,15.3,"(13.88, 16.87)",163.41,"(116.2, 226.83)",2.46,"(2.37, 2.55)",0.72,"(0.67, 0.79)",,
onset-to-death,Log-normal,Brazil,15.69,"(15.58, 15.8)",180.73,"(176.27, 185.37)",2.48,"(2.47, 2.48)",0.74,"(0.74, 0.75)",,
onset-to-death,Gen. Gamma,AC,17.42,"(16.24, 18.68)",107.91,"(86.93, 133.12)",7.32,"(5.68, 10.04)",2.69,"(2.25, 3.16)",1.06,"(1.0, 1.19)"
onset-to-death,Gen. Gamma,AL,13.89,"(13.35, 14.44)",79.06,"(70.59, 88.26)",6.18,"(5.42, 7.42)",2.38,"(2.17, 2.59)",1.03,"(1.0, 1.1)"
onset-to-death,Gen. Gamma,AM,15.62,"(15.27, 15.99)",93.74,"(87.54, 100.38)",6.2,"(5.78, 6.8)",2.58,"(2.44, 2.72)",1.01,"(1.0, 1.04)"
onset-to-death,Gen. Gamma,AP,14.43,"(13.14, 15.82)",91.21,"(70.63, 117.68)",8.23,"(5.95, 12.19)",2.11,"(1.71, 2.52)",1.1,"(1.0, 1.32)"
onset-to-death,Gen. Gamma,BA,15.16,"(14.72, 15.62)",116.64,"(107.65, 126.4)",8.21,"(7.45, 9.45)",1.93,"(1.81, 2.05)",1.02,"(1.0, 1.08)"
onset-to-death,Gen. Gamma,CE,16.11,"(15.84, 16.4)",116.07,"(110.54, 121.82)",7.43,"(7.05, 7.99)",2.22,"(2.13, 2.3)",1.01,"(1.0, 1.04)"
onset-to-death,Gen. Gamma,DF,16.35,"(15.61, 17.1)",98.32,"(85.81, 112.33)",7.28,"(5.79, 9.94)",2.57,"(2.24, 2.88)",1.07,"(1.0, 1.21)"
onset-to-death,Gen. Gamma,ES,16.94,"(16.42, 17.5)",103.28,"(93.46, 113.98)",7.37,"(6.04, 9.66)",2.62,"(2.36, 2.86)",1.06,"(1.0, 1.19)"
onset-to-death,Gen. Gamma,GO,14.42,"(13.76, 15.12)",82.72,"(72.7, 95.4)",6.83,"(5.55, 9.22)",2.38,"(2.09, 2.66)",1.06,"(1.0, 1.2)"
onset-to-death,Gen. Gamma,MA,14.97,"(14.56, 15.39)",87.12,"(80.29, 94.52)",6.21,"(5.63, 7.18)",2.52,"(2.36, 2.69)",1.02,"(1.0, 1.07)"
onset-to-death,Gen. Gamma,MG,15.08,"(14.54, 15.66)",92.35,"(83.02, 102.67)",6.78,"(5.88, 8.29)",2.39,"(2.18, 2.59)",1.03,"(1.0, 1.12)"
onset-to-death,Gen. Gamma,MS,14.57,"(13.13, 16.15)",76.13,"(57.49, 101.49)",6.96,"(4.86, 10.54)",2.57,"(2.04, 3.13)",1.11,"(1.0, 1.33)"
onset-to-death,Gen. Gamma,MT,13.86,"(12.92, 14.84)",66.57,"(54.0, 81.35)",5.83,"(4.46, 8.22)",2.73,"(2.3, 3.19)",1.07,"(1.0, 1.21)"
onset-to-death,Gen. Gamma,PA,14.73,"(14.47, 15.0)",89.35,"(85.04, 94.16)",6.28,"(5.92, 6.81)",2.4,"(2.31, 2.5)",1.01,"(1.0, 1.04)"
onset-to-death,Gen. Gamma,PB,13.87,"(13.36, 14.37)",73.51,"(66.2, 81.9)",6.62,"(5.28, 9.0)",2.44,"(2.16, 2.69)",1.08,"(1.0, 1.23)"
onset-to-death,Gen. Gamma,PE,12.95,"(12.68, 13.24)",89.68,"(84.7, 94.98)",7.02,"(6.69, 7.38)",1.86,"(1.79, 1.94)",1.0,"(1.0, 1.02)"
onset-to-death,Gen. Gamma,PI,16.47,"(15.6, 17.4)",110.33,"(94.47, 128.27)",7.94,"(6.43, 10.54)",2.34,"(2.05, 2.63)",1.06,"(1.0, 1.19)"
onset-to-death,Gen. Gamma,PR,15.68,"(15.06, 16.32)",85.35,"(75.43, 96.34)",6.17,"(5.2, 7.92)",2.78,"(2.47, 3.06)",1.04,"(1.0, 1.14)"
onset-to-death,Gen. Gamma,RJ,14.23,"(14.03, 14.44)",103.27,"(99.37, 107.29)",7.34,"(7.09, 7.61)",1.95,"(1.91, 2.01)",1.0,"(1.0, 1.01)"
onset-to-death,Gen. Gamma,RN,15.14,"(14.55, 15.75)",85.95,"(76.31, 96.83)",7.26,"(5.65, 9.82)",2.47,"(2.17, 2.75)",1.09,"(1.0, 1.24)"
onset-to-death,Gen. Gamma,RO,14.48,"(13.46, 15.53)",79.49,"(63.99, 97.99)",7.8,"(5.45, 11.82)",2.36,"(1.94, 2.78)",1.13,"(1.01, 1.39)"
onset-to-death,Gen. Gamma,RR,11.0,"(10.11, 11.96)",63.31,"(50.38, 79.19)",6.43,"(5.16, 8.31)",1.85,"(1.57, 2.15)",1.04,"(1.0, 1.15)"
onset-to-death,Gen. Gamma,RS,15.48,"(14.72, 16.25)",116.55,"(102.04, 132.92)",8.11,"(7.1, 9.65)",2.01,"(1.82, 2.2)",1.03,"(1.0, 1.09)"
onset-to-death,Gen. Gamma,SC,17.89,"(16.73, 19.09)",148.43,"(124.69, 178.1)",9.34,"(7.68, 11.88)",2.08,"(1.81, 2.37)",1.04,"(1.0, 1.14)"
onset-to-death,Gen. Gamma,SE,13.54,"(12.36, 14.8)",121.07,"(96.69, 150.09)",9.57,"(7.97, 11.65)",1.49,"(1.28, 1.7)",1.03,"(1.0, 1.1)"
onset-to-death,Gen. Gamma,SP,16.2,"(16.05, 16.37)",114.59,"(111.47, 117.94)",7.15,"(6.96, 7.41)",2.28,"(2.23, 2.33)",1.0,"(1.0, 1.01)"
onset-to-death,Gen. Gamma,TO,14.73,"(13.5, 16.07)",88.16,"(69.21, 111.81)",7.32,"(5.51, 10.41)",2.32,"(1.91, 2.75)",1.07,"(1.0, 1.25)"
onset-to-death,Gen. Gamma,Brazil,15.21,"(15.12, 15.29)",113.17,"(110.92, 115.5)",2.31,"(1.93, 2.74)",2.82,"(2.72, 2.92)",0.74,"(0.71, 0.76)"
onset-to-death,Gen. Log-normal,AC,17.82,"(16.33, 19.52)",194.57,"(134.37, 285.22)",2.66,"(2.58, 2.74)",0.57,"(0.5, 0.65)",1.73,"(1.57, 1.9)"
onset-to-death,Gen. Log-normal,AL,14.41,"(13.74, 15.13)",141.69,"(114.36, 174.51)",2.42,"(2.38, 2.46)",0.62,"(0.57, 0.68)",1.78,"(1.65, 1.94)"
onset-to-death,Gen. Log-normal,AM,16.08,"(15.63, 16.55)",159.72,"(140.14, 182.87)",2.55,"(2.53, 2.58)",0.57,"(0.54, 0.61)",1.72,"(1.62, 1.82)"
onset-to-death,Gen. Log-normal,AP,15.88,"(14.03, 18.03)",255.51,"(147.65, 441.46)",2.45,"(2.35, 2.56)",0.67,"(0.59, 0.75)",1.71,"(1.56, 1.88)"
onset-to-death,Gen. Log-normal,BA,16.45,"(15.76, 17.16)",293.7,"(238.87, 366.52)",2.47,"(2.44, 2.51)",0.68,"(0.63, 0.73)",1.69,"(1.58, 1.8)"
onset-to-death,Gen. Log-normal,CE,17.05,"(16.66, 17.46)",239.29,"(213.75, 268.47)",2.56,"(2.54, 2.58)",0.64,"(0.6, 0.67)",1.72,"(1.64, 1.81)"
onset-to-death,Gen. Log-normal,DF,17.17,"(16.23, 18.2)",192.89,"(148.47, 251.77)",2.61,"(2.56, 2.66)",0.58,"(0.52, 0.64)",1.71,"(1.57, 1.85)"
onset-to-death,Gen. Log-normal,ES,18.18,"(17.41, 19.01)",225.41,"(182.39, 284.95)",2.67,"(2.63, 2.71)",0.53,"(0.47, 0.58)",1.59,"(1.44, 1.72)"
onset-to-death,Gen. Log-normal,GO,15.32,"(14.43, 16.29)",173.24,"(132.42, 229.26)",2.48,"(2.42, 2.53)",0.6,"(0.54, 0.66)",1.7,"(1.56, 1.85)"
onset-to-death,Gen. Log-normal,MA,15.66,"(15.11, 16.24)",161.54,"(137.84, 191.49)",2.52,"(2.48, 2.55)",0.59,"(0.54, 0.63)",1.72,"(1.61, 1.84)"
onset-to-death,Gen. Log-normal,MG,15.98,"(15.27, 16.75)",192.1,"(154.41, 242.16)",2.52,"(2.48, 2.56)",0.59,"(0.54, 0.64)",1.67,"(1.55, 1.8)"
onset-to-death,Gen. Log-normal,MS,15.66,"(13.91, 17.71)",174.65,"(103.32, 295.72)",2.5,"(2.4, 2.61)",0.6,"(0.52, 0.69)",1.74,"(1.58, 1.92)"
onset-to-death,Gen. Log-normal,MT,14.39,"(13.29, 15.62)",119.28,"(85.0, 168.5)",2.45,"(2.38, 2.52)",0.57,"(0.5, 0.63)",1.75,"(1.6, 1.92)"
onset-to-death,Gen. Log-normal,PA,15.57,"(15.19, 15.98)",181.7,"(160.62, 207.3)",2.49,"(2.47, 2.51)",0.58,"(0.54, 0.61)",1.65,"(1.56, 1.74)"
onset-to-death,Gen. Log-normal,PB,14.7,"(14.02, 15.44)",147.63,"(119.76, 183.48)",2.44,"(2.4, 2.49)",0.61,"(0.56, 0.66)",1.75,"(1.62, 1.89)"
onset-to-death,Gen. Log-normal,PE,13.41,"(13.03, 13.81)",169.35,"(148.05, 194.6)",2.28,"(2.26, 2.3)",0.74,"(0.69, 0.79)",1.85,"(1.74, 1.98)"
onset-to-death,Gen. Log-normal,PI,17.65,"(16.46, 18.97)",248.57,"(180.33, 346.68)",2.6,"(2.54, 2.66)",0.62,"(0.55, 0.68)",1.7,"(1.56, 1.85)"
onset-to-death,Gen. Log-normal,PR,16.51,"(15.72, 17.37)",163.81,"(128.85, 212.49)",2.59,"(2.55, 2.63)",0.52,"(0.46, 0.58)",1.63,"(1.47, 1.76)"
onset-to-death,Gen. Log-normal,RJ,14.98,"(14.67, 15.29)",210.84,"(190.96, 233.22)",2.39,"(2.38, 2.41)",0.72,"(0.69, 0.75)",1.82,"(1.74, 1.9)"
onset-to-death,Gen. Log-normal,RN,16.29,"(15.41, 17.21)",191.8,"(149.36, 250.17)",2.55,"(2.5, 2.59)",0.57,"(0.51, 0.63)",1.65,"(1.51, 1.78)"
onset-to-death,Gen. Log-normal,RO,16.09,"(14.63, 17.74)",221.4,"(140.28, 352.2)",2.51,"(2.43, 2.59)",0.59,"(0.5, 0.67)",1.63,"(1.45, 1.78)"
onset-to-death,Gen. Log-normal,RR,11.93,"(10.63, 13.4)",146.01,"(90.42, 235.8)",2.16,"(2.06, 2.26)",0.69,"(0.61, 0.77)",1.73,"(1.58, 1.92)"
onset-to-death,Gen. Log-normal,RS,16.51,"(15.49, 17.61)",265.48,"(198.23, 359.68)",2.5,"(2.45, 2.55)",0.66,"(0.59, 0.72)",1.7,"(1.56, 1.84)"
onset-to-death,Gen. Log-normal,SC,18.76,"(17.23, 20.52)",332.41,"(229.46, 487.16)",2.63,"(2.56, 2.7)",0.66,"(0.58, 0.73)",1.71,"(1.56, 1.86)"
onset-to-death,Gen. Log-normal,SE,14.71,"(13.03, 16.66)",349.9,"(203.69, 603.4)",2.28,"(2.18, 2.37)",0.75,"(0.67, 0.83)",1.68,"(1.53, 1.83)"
onset-to-death,Gen. Log-normal,SP,17.36,"(17.1, 17.61)",255.82,"(236.49, 277.47)",2.58,"(2.57, 2.59)",0.59,"(0.56, 0.61)",1.62,"(1.57, 1.67)"
onset-to-death,Gen. Log-normal,TO,15.62,"(14.08, 17.37)",194.02,"(124.07, 307.73)",2.48,"(2.39, 2.57)",0.63,"(0.55, 0.7)",1.73,"(1.57, 1.9)"
onset-to-death,Gen. Log-normal,Brazil,16.15,"(16.02, 16.27)",221.82,"(212.93, 230.76)",2.5,"(2.49, 2.51)",0.63,"(0.62, 0.65)",1.7,"(1.67, 1.73)"
onset-to-diagnosis,Gamma,AC,15.09,"(7.4, 29.14)",114.72,"(35.32, 358.24)",2.21,"(1.28, 3.19)",0.16,"(0.08, 0.24)",,
onset-to-diagnosis,Gamma,AL,13.74,"(13.0, 14.49)",62.52,"(53.48, 72.8)",3.03,"(2.69, 3.4)",0.22,"(0.19, 0.25)",,
onset-to-diagnosis,Gamma,AM,10.42,"(10.08, 10.78)",51.41,"(46.72, 56.36)",2.11,"(1.98, 2.25)",0.2,"(0.19, 0.22)",,
onset-to-diagnosis,Gamma,AP,8.58,"(7.65, 9.59)",42.65,"(32.44, 55.95)",1.75,"(1.44, 2.08)",0.2,"(0.17, 0.25)",,
onset-to-diagnosis,Gamma,BA,8.55,"(7.84, 9.3)",52.42,"(42.16, 64.93)",1.4,"(1.23, 1.59)",0.16,"(0.14, 0.19)",,
onset-to-diagnosis,Gamma,CE,10.83,"(10.5, 11.16)",52.15,"(47.77, 56.94)",2.25,"(2.11, 2.39)",0.21,"(0.19, 0.22)",,
onset-to-diagnosis,Gamma,DF,7.86,"(7.22, 8.53)",36.04,"(29.36, 43.79)",1.72,"(1.51, 1.96)",0.22,"(0.19, 0.25)",,
onset-to-diagnosis,Gamma,ES,9.2,"(8.43, 10.06)",57.48,"(46.89, 71.65)",1.48,"(1.3, 1.68)",0.16,"(0.14, 0.19)",,
onset-to-diagnosis,Gamma,GO,9.1,"(8.07, 10.16)",40.07,"(30.11, 53.39)",2.09,"(1.71, 2.51)",0.23,"(0.18, 0.28)",,
onset-to-diagnosis,Gamma,MA,10.8,"(10.26, 11.37)",60.89,"(53.53, 69.35)",1.92,"(1.76, 2.08)",0.18,"(0.16, 0.19)",,
onset-to-diagnosis,Gamma,MG,10.7,"(10.17, 11.28)",50.19,"(43.64, 57.74)",2.29,"(2.07, 2.52)",0.21,"(0.19, 0.24)",,
onset-to-diagnosis,Gamma,MS,9.53,"(8.45, 10.73)",45.91,"(34.76, 60.52)",2.0,"(1.66, 2.39)",0.21,"(0.17, 0.25)",,
onset-to-diagnosis,Gamma,MT,10.53,"(10.26, 10.8)",40.31,"(37.5, 43.47)",2.75,"(2.6, 2.9)",0.26,"(0.25, 0.28)",,
onset-to-diagnosis,Gamma,PA,11.65,"(11.27, 12.03)",51.68,"(47.1, 56.9)",2.63,"(2.45, 2.82)",0.23,"(0.21, 0.24)",,
onset-to-diagnosis,Gamma,PB,9.74,"(9.24, 10.28)",46.23,"(40.19, 53.42)",2.06,"(1.86, 2.27)",0.21,"(0.19, 0.24)",,
onset-to-diagnosis,Gamma,PE,10.12,"(9.19, 11.12)",49.74,"(39.4, 63.43)",2.08,"(1.76, 2.43)",0.21,"(0.17, 0.24)",,
onset-to-diagnosis,Gamma,PI,8.73,"(7.89, 9.69)",52.89,"(41.73, 67.53)",1.45,"(1.24, 1.67)",0.17,"(0.14, 0.2)",,
onset-to-diagnosis,Gamma,PR,11.25,"(10.03, 12.55)",51.86,"(39.86, 67.61)",2.47,"(2.02, 2.96)",0.22,"(0.18, 0.27)",,
onset-to-diagnosis,Gamma,RJ,11.54,"(11.09, 12.03)",84.93,"(76.35, 94.55)",1.57,"(1.47, 1.68)",0.14,"(0.13, 0.15)",,
onset-to-diagnosis,Gamma,RN,9.33,"(8.79, 9.88)",42.32,"(36.18, 49.16)",2.06,"(1.85, 2.29)",0.22,"(0.2, 0.25)",,
onset-to-diagnosis,Gamma,RO,5.9,"(5.34, 6.52)",30.3,"(24.18, 38.04)",1.16,"(1.01, 1.32)",0.2,"(0.17, 0.23)",,
onset-to-diagnosis,Gamma,RR,3.54,"(2.84, 4.36)",18.17,"(11.79, 27.25)",0.7,"(0.56, 0.86)",0.2,"(0.15, 0.25)",,
onset-to-diagnosis,Gamma,RS,9.66,"(9.03, 10.32)",56.76,"(47.82, 67.46)",1.65,"(1.48, 1.84)",0.17,"(0.15, 0.19)",,
onset-to-diagnosis,Gamma,SC,9.36,"(8.73, 10.06)",42.48,"(35.39, 51.16)",2.08,"(1.82, 2.35)",0.22,"(0.19, 0.25)",,
onset-to-diagnosis,Gamma,SE,6.7,"(5.72, 7.88)",39.61,"(27.68, 56.84)",1.15,"(0.93, 1.4)",0.17,"(0.13, 0.22)",,
onset-to-diagnosis,Gamma,SP,12.15,"(11.91, 12.4)",77.64,"(73.56, 81.98)",1.9,"(1.83, 1.97)",0.16,"(0.15, 0.16)",,
onset-to-diagnosis,Gamma,TO,9.28,"(7.65, 11.17)",48.52,"(32.71, 71.55)",1.81,"(1.38, 2.28)",0.2,"(0.15, 0.25)",,
onset-to-diagnosis,Gamma,Brazil,10.78,"(10.68, 10.89)",60.88,"(59.17, 62.62)",1.91,"(1.87, 1.95)",0.18,"(0.17, 0.18)",,
onset-to-diagnosis,Weibull,AC,12.11,"(8.48, 16.35)",88.95,"(34.22, 220.28)",1.39,"(0.93, 1.83)",13.12,"(8.94, 17.63)",,
onset-to-diagnosis,Weibull,AL,13.57,"(12.86, 14.31)",57.25,"(49.72, 66.03)",1.86,"(1.73, 2.01)",15.28,"(14.47, 16.13)",,
onset-to-diagnosis,Weibull,AM,10.45,"(10.1, 10.8)",52.7,"(48.59, 57.26)",1.46,"(1.42, 1.51)",11.54,"(11.14, 11.94)",,
onset-to-diagnosis,Weibull,AP,8.65,"(7.74, 9.62)",38.38,"(29.19, 51.01)",1.42,"(1.26, 1.59)",9.5,"(8.47, 10.6)",,
onset-to-diagnosis,Weibull,BA,8.69,"(7.95, 9.46)",52.46,"(42.35, 65.82)",1.21,"(1.12, 1.3)",9.26,"(8.42, 10.09)",,
